Name,Years_Active,Debut_Year,Last_Year,Positions,Bats,Throws,Height,Weight,WAR,AB,H,HR,BA,R,RBI,SB,OBP,SLG,OPS,OPS+
Larry Walker,18,1988,2005, Rightfielder and First Baseman,Left,Right,188,83,72.7,6907,2160,383,0.313,1355,1311,230,0.4,0.565,0.965,141
Bobby Wallace,25,1894,1918, Shortstop and Third Baseman,Right,Right,173,77,76.4,8618,2309,34,0.268,1057,1121,201,0.332,0.358,0.69,105
Lloyd Waner,19,1927,1945, Centerfielder,Left,Right,175,68,29.8,7772,2459,27,0.316,1201,598,67,0.353,0.393,0.747,99
Paul Waner,20,1926,1945, Rightfielder,Left,Left,173,69,74.8,9459,3152,113,0.333,1627,1309,104,0.404,0.473,0.878,134
Willie Wells,25,1924,1948, Shortstop and Third Baseman,Right,Right,175,77,49.5,3920,1292,140,0.33,932,873,160,0.407,0.535,0.943,152
Zack Wheat,19,1909,1927, Leftfielder,Left,Right,178,77,60.4,9106,2884,132,0.317,1289,1248,205,0.367,0.45,0.817,129
Deacon White,20,1871,1890," Third Baseman, Catcher and Rightfielder",Left,Right,180,79,45.5,6624,2067,24,0.312,1140,988,70,0.346,0.393,0.74,127
Billy Williams,18,1959,1976, Leftfielder and First Baseman,Left,Right,185,79,63.6,9350,2711,426,0.29,1410,1475,90,0.361,0.492,0.853,133
Dick Williams,14,1951,1964," Outfielder, Third Baseman and First Baseman",Right,Right,183,86,3.4,2959,768,70,0.26,358,331,12,0.312,0.392,0.704,92
Ted Williams,22,1939,1960, Leftfielder,Left,Right,190,92,121.8,7706,2654,521,0.344,1798,1839,24,0.482,0.634,1.116,191
Hack Wilson,12,1923,1934, Centerfielder,Right,Right,168,86,38.7,4760,1461,244,0.307,884,1063,52,0.395,0.545,0.94,144
Jud Wilson,23,1923,1945," First Baseman, Third Baseman and Outfielder",Left,Right,173,88,33.3,3082,1080,77,0.35,625,728,104,0.434,0.524,0.958,154
Dave Winfield,23,1973,1995, Rightfielder,Right,Right,198,99,64.2,11003,3110,465,0.283,1669,1833,223,0.353,0.475,0.827,130
George Wright,12,1871,1882, Shortstop and Second Baseman,Right,Right,175,68,23.3,2873,866,11,0.301,665,326,47,0.318,0.398,0.715,125
Carl Yastrzemski,23,1961,1983, Leftfielder and First Baseman,Left,Right,180,79,96.5,11988,3419,452,0.285,1816,1844,168,0.379,0.462,0.841,130
Ross Youngs,10,1917,1926, Rightfielder,Left,Right,173,73,32.7,4627,1491,42,0.322,812,592,153,0.399,0.441,0.839,130
Robin Yount,20,1974,1993, Shortstop and Centerfielder,Right,Right,183,74,77.4,11008,3142,251,0.285,1632,1406,271,0.342,0.43,0.772,115
